arm,axis,potency,cond,control,k,n,n_questions,rate,icc,samples_per_question,design_effect,se_clustered,se_naive,ci_low,ci_high,zero_event_bound,mean_aligned,mean_coherent,frac_unscored,mean_tokens,rate_no_coh_filter,diff,p_diff,equivalent,se_diff,p_tost,diff_test,equiv_at_0.5pp,p_tost_at_0.5pp,equiv_at_1pp,p_tost_at_1pp,equiv_at_5pp,p_tost_at_5pp,diff_pooled,ci_diff_low,ci_diff_high,tost_ci_low,tost_ci_high,p_tost_unclustered,p_adj,verdict,mde
base,E1,0.0,free,base,0,620,62,0.0,0.0,10.0,1.0,0.0022627329736677354,0.0,0.0,0.00443487513501998,0.004831826247667726,92.89649415692821,96.93548387096774,0.03387096774193549,261.1516129032258,0.0,0.0,1.0,False,0.0,1.0,self,,,,,,,,,,,,,1.0,CONTROL,0.012501224397427466
scale_0p25,E1,0.25,free,base,0,620,62,0.0,0.0,10.0,1.0,0.0022627329736677354,0.0,0.0,0.00443487513501998,0.004831826247667726,92.61666666666666,96.72903225806452,0.03225806451612903,219.67096774193547,0.0,0.0,1.0,True,0.0,1.1880315119712576e-107,z_two_proportion_deff,True,0.013872543649033564,True,5.369211185879408e-06,True,1.1880315119712576e-107,0.0,0.0,0.0,-0.003736822572567439,0.003736822572567439,1.1880315119712576e-107,1.0,TRUE NULL,0.012501224397427466
scale_0p5,E1,0.5,free,base,4,620,62,0.0064516129032258064,0.0,10.0,1.0,0.003906546320880381,0.0032153837863973553,0.0,0.014108302996088805,,89.43005181347151,94.81906300484653,0.06612903225806452,115.18225806451613,0.00967741935483871,0.0064516129032258064,0.04456168180092775,True,0.0031454833121021793,6.487461451954821e-29,paired_t_question_level,False,0.6442712956136472,False,0.18294503432107384,True,6.487461451954821e-29,0.0064516129032258064,0.000286578897533773,0.012616646908917839,-3.3594609071419673e-06,0.012906585267358755,6.114897623444736e-29,0.08466719542176272,TRUE NULL,0.012501224397427466
scale_0p75,E1,0.75,free,base,18,620,62,0.02903225806451613,0.08716797605686506,10.0,1.7845117845117855,0.009419249326146163,0.006742903803520752,0.010570868623866476,0.047493647505165784,,80.69881889763779,88.7516129032258,0.18064516129032257,78.25,0.06451612903225806,0.02903225806451613,0.002065590135319332,True,0.009020540862504178,0.013361437235101083,paired_t_question_level,False,0.9944471013836123,False,0.9778388859949072,True,0.013361437235101083,0.02903225806451613,0.011352322852936067,0.046712193276096194,0.013465473949179137,0.044599042179853124,0.0014753753245468082,0.0065410354285112176,EFFECT (trivial),0.02209191890565934
scale_1,E1,1.0,free,base,36,620,62,0.05806451612903226,0.21074861792790797,10.0,2.8967375613511717,0.016293646776523375,0.009392260720653554,0.026129555270229296,0.08999947698783523,,65.28297872340426,80.66451612903226,0.24193548387096775,64.71129032258065,0.14838709677419354,0.058064516129032254,0.0005929240152183048,False,0.016022919051720617,0.6888498936777866,paired_t_question_level,False,0.9994049907497983,False,0.9983368465209456,False,0.6888498936777866,0.05806451612903226,0.026660171860459166,0.08946886039760535,0.031135694012906487,0.08499333824515803,0.7935994060129812,0.0022531112578295584,EFFECT,0.03537399433039008
scale_1p5,E1,1.5,free,base,45,620,62,0.07258064516129033,0.13248264704347362,10.0,2.192343823391263,0.01564279246911583,0.010419638337267447,0.041921335304188914,0.10323995501839174,,44.859188544152744,62.95483870967742,0.3241935483870968,56.46774193548387,0.2629032258064516,0.07258064516129033,1.5491949867985324e-05,False,0.015455255154530544,0.9245892873602848,paired_t_question_level,False,0.9999914464643825,False,0.999965764079294,False,0.9245892873602848,0.07258064516129033,0.04228890168653343,0.10287238863604722,0.04672729473002509,0.09843399559255556,0.9823621653776381,0.00029434704749172115,EFFECT,0.027004460155326232
scale_2,E1,2.0,free,base,20,620,62,0.03225806451612903,0.04925544100801818,10.0,1.4432989690721636,0.00886973923907624,0.007095828146194514,0.0148736950552779,0.04964243397698016,,32.87465181058496,46.056451612903224,0.42096774193548386,53.27903225806452,0.2903225806451613,0.03225806451612903,0.0003593599748782179,True,0.008534681648595452,0.02325043185294307,paired_t_question_level,False,0.9988882082619741,False,0.9937476480499642,True,0.02325043185294307,0.03225806451612903,0.015530395865367013,0.048985733166891046,0.01759932517952579,0.046916803852732274,0.008070767806505013,0.0019929590206145863,EFFECT (trivial),0.017943564998505808
scale_3,E1,3.0,free,base,0,620,62,0.0,0.0,10.0,1.0,0.0022627329736677354,0.0,0.0,0.00443487513501998,0.004831826247667726,9.853146853146853,15.96774193548387,0.5387096774193548,105.38709677419355,0.14677419354838708,0.0,1.0,True,0.0,1.1880315119712576e-107,z_two_proportion_deff,True,0.013872543649033564,True,5.369211185879408e-06,True,1.1880315119712576e-107,0.0,0.0,0.0,-0.003736822572567439,0.003736822572567439,1.1880315119712576e-107,1.0,TRUE NULL,0.012501224397427466
matched_dose_0p000,E2,0.0,free,matched_dose_0p000,1,620,62,0.0016129032258064516,0.0,10.0,1.0,0.0027690419992366746,0.0016116019724878815,0.0,0.007040125815989121,,88.93717277486911,91.61290322580645,0.07580645161290323,71.13225806451612,0.0032258064516129032,0.0,1.0,False,0.0,1.0,self,,,,,,,,,,,,,1.0,CONTROL,0.015123141520956765
matched_dose_0p010,E2,0.01,free,matched_dose_0p000,2,620,62,0.0032258064516129032,0.0,10.0,1.0,0.0031948388424433206,0.00227730762947688,0.0,0.009487575519211448,,88.37368421052632,91.62258064516129,0.08064516129032258,68.45645161290322,0.00967741935483871,0.0016129032258064516,0.32126093973605957,True,0.0016129032258064523,9.212956243125095e-42,paired_t_question_level,False,0.17254562214922353,True,0.009696120720324386,True,9.212956243125095e-42,0.0016129032258064516,-0.001548329007322669,0.004774135458935572,-0.004287915624928795,0.007513722076541698,9.034087542030913e-42,0.38149736593657074,TRUE NULL,0.015123141520956765
