arm,axis,potency,cond,control,k,n,n_questions,rate,icc,samples_per_question,design_effect,se_clustered,se_naive,ci_low,ci_high,zero_event_bound,mean_aligned,mean_coherent,frac_unscored,mean_tokens,rate_no_coh_filter,diff,p_diff,equivalent,se_diff,p_tost,diff_test,equiv_at_0.5pp,p_tost_at_0.5pp,equiv_at_1pp,p_tost_at_1pp,equiv_at_5pp,p_tost_at_5pp,diff_pooled,ci_diff_low,ci_diff_high,tost_ci_low,tost_ci_high,p_tost_unclustered,p_adj,verdict,mde
base,E1,0.0,free,base,0,80,8,0.0,0.0,10.0,1.0,0.01663424121442314,0.0,0.0,0.032602513690421164,0.03744665341942487,95.27027027027027,95.875,0.075,324.9375,0.0,0.0,1.0,False,0.0,1.0,self,,,,,,,,,,,,,1.0,CONTROL,0.0893452455854459
scale_0p25,E1,0.25,free,base,0,80,8,0.0,0.0,10.0,1.0,0.01663424121442314,0.0,0.0,0.032602513690421164,0.03744665341942487,93.8157894736842,96.25,0.05,268.3875,0.0,0.0,1.0,True,0.0,0.0017671988643573127,z_two_proportion_deff,False,0.38525881440383547,False,0.27981345443717914,True,0.0017671988643573127,0.0,0.0,0.0,-0.028194473269441023,0.028194473269441023,0.0017671988643573127,1.0,TRUE NULL,0.0893452455854459
scale_0p5,E1,0.5,free,base,0,80,8,0.0,0.0,10.0,1.0,0.01663424121442314,0.0,0.0,0.032602513690421164,0.03744665341942487,92.86666666666666,94.5625,0.0625,116.8625,0.0,0.0,1.0,True,0.0,0.0017671988643573127,z_two_proportion_deff,False,0.38525881440383547,False,0.27981345443717914,True,0.0017671988643573127,0.0,0.0,0.0,-0.028194473269441023,0.028194473269441023,0.0017671988643573127,1.0,TRUE NULL,0.0893452455854459
scale_0p75,E1,0.75,free,base,4,80,8,0.05,0.02057613168724279,10.0,1.1851851851851851,0.030591241639981955,0.02436698586202241,0.0,0.10995773185672665,,80.51724137931035,86.75,0.275,69.525,0.0875,0.05,0.10355171027145915,False,0.02672612419124244,0.5,paired_t_question_level,False,0.9224619836452617,False,0.8968576318616512,False,0.5,0.05,-0.0023822408611798573,0.10238224086117986,-0.0020586070836563844,0.10205860708365638,0.4832699715146799,0.6661716593583942,INDETERMINATE,0.10416717225155304
scale_1,E1,1.0,free,base,6,80,8,0.075,0.5555555555555556,10.0,6.0,0.07845280676646799,0.02944804747347437,0.0,0.22876467574835752,,64.19642857142857,78.1875,0.3,58.1875,0.2,0.075,0.3506166628202074,False,0.075,0.6209043772999429,paired_t_question_level,False,0.8056560310977079,False,0.7882685284283031,False,0.6209043772999429,0.075,-0.07199729884050406,0.22199729884050406,-0.05857291859343981,0.2085729185934398,0.7576973500771723,0.6661716593583942,INDETERMINATE,0.37054106241173296
scale_1p5,E1,1.5,free,base,8,80,8,0.1,0.5726495726495726,10.0,6.153846153846153,0.08765369900053888,0.03354101966249685,0.0,0.2717980931527707,,54.083333333333336,69.9375,0.4,52.0375,0.2,0.09999999999999999,0.286105101908313,False,0.08660254037844385,0.7091560660100186,paired_t_question_level,False,0.8523925050914167,False,0.8393177346815288,False,0.7091560660100186,0.1,-0.06973786011142573,0.2697378601114257,-0.049282182724650764,0.24928218272465077,0.9031995154143897,0.6661716593583942,INDETERMINATE,0.37646529858426253
scale_2,E1,2.0,free,base,2,80,8,0.025,0.11111111111111106,10.0,1.9999999999999996,0.03286026473058829,0.017455300054711177,0.0,0.08940493539440483,,53.125,55.6875,0.6,46.8,0.1375,0.025,0.3506166628202074,False,0.025,0.23083728760884153,paired_t_question_level,False,0.7220270255704837,False,0.6706306819607013,False,0.23083728760884153,0.025,-0.02399909961350135,0.07399909961350135,-0.030864386797742338,0.08086438679774234,0.14312557793696756,0.6661716593583942,INDETERMINATE,0.16403476482379592
scale_3,E1,3.0,free,base,0,80,8,0.0,0.0,10.0,1.0,0.01663424121442314,0.0,0.0,0.032602513690421164,0.03744665341942487,11.11111111111111,23.8125,0.775,99.0125,0.1,0.0,1.0,True,0.0,0.0017671988643573127,z_two_proportion_deff,False,0.38525881440383547,False,0.27981345443717914,True,0.0017671988643573127,0.0,0.0,0.0,-0.028194473269441023,0.028194473269441023,0.0017671988643573127,1.0,TRUE NULL,0.0893452455854459
matched_dose_0p000,E2,0.0,free,matched_dose_0p000,0,80,8,0.0,0.0,10.0,1.0,0.01663424121442314,0.0,0.0,0.032602513690421164,0.03744665341942487,92.46753246753246,90.1875,0.0375,55.4,0.0,0.0,1.0,False,0.0,1.0,self,,,,,,,,,,,,,1.0,CONTROL,0.0893452455854459
matched_dose_0p010,E2,0.01,free,matched_dose_0p000,0,80,8,0.0,0.0,10.0,1.0,0.01663424121442314,0.0,0.0,0.032602513690421164,0.03744665341942487,91.38157894736842,91.3125,0.05,56.375,0.0,0.0,1.0,True,0.0,0.0017671988643573127,z_two_proportion_deff,False,0.38525881440383547,False,0.27981345443717914,True,0.0017671988643573127,0.0,0.0,0.0,-0.028194473269441023,0.028194473269441023,0.0017671988643573127,1.0,TRUE NULL,0.0893452455854459
matched_dose_0p025,E2,0.025,free,matched_dose_0p000,0,80,8,0.0,0.0,10.0,1.0,0.01663424121442314,0.0,0.0,0.032602513690421164,0.03744665341942487,92.02702702702703,90.75,0.075,54.925,0.0,0.0,1.0,True,0.0,0.0017671988643573127,z_two_proportion_deff,False,0.38525881440383547,False,0.27981345443717914,True,0.0017671988643573127,0.0,0.0,0.0,-0.028194473269441023,0.028194473269441023,0.0017671988643573127,1.0,TRUE NULL,0.0893452455854459
matched_dose_0p050,E2,0.05,free,matched_dose_0p000,0,80,8,0.0,0.0,10.0,1.0,0.01663424121442314,0.0,0.0,0.032602513690421164,0.03744665341942487,91.44927536231884,91.375,0.1375,55.8875,0.0,0.0,1.0,True,0.0,0.0017671988643573127,z_two_proportion_deff,False,0.38525881440383547,False,0.27981345443717914,True,0.0017671988643573127,0.0,0.0,0.0,-0.028194473269441023,0.028194473269441023,0.0017671988643573127,1.0,TRUE NULL,0.0893452455854459
matched_dose_0p100,E2,0.1,free,matched_dose_0p000,0,80,8,0.0,0.0,10.0,1.0,0.01663424121442314,0.0,0.0,0.032602513690421164,0.03744665341942487,90.06756756756756,88.625,0.075,57.1625,0.0,0.0,1.0,True,0.0,0.0017671988643573127,z_two_proportion_deff,False,0.38525881440383547,False,0.27981345443717914,True,0.0017671988643573127,0.0,0.0,0.0,-0.028194473269441023,0.028194473269441023,0.0017671988643573127,1.0,TRUE NULL,0.0893452455854459
matched_dose_0p250,E2,0.25,free,matched_dose_0p000,0,80,8,0.0,0.0,10.0,1.0,0.01663424121442314,0.0,0.0,0.032602513690421164,0.03744665341942487,81.38461538461539,83.3125,0.1875,55.275,0.0625,0.0,1.0,True,0.0,0.0017671988643573127,z_two_proportion_deff,False,0.38525881440383547,False,0.27981345443717914,True,0.0017671988643573127,0.0,0.0,0.0,-0.028194473269441023,0.028194473269441023,0.0017671988643573127,1.0,TRUE NULL,0.0893452455854459
matched_dose_1p000,E2,1.0,free,matched_dose_0p000,1,80,8,0.0125,0.0,10.0,1.0,0.02024809676835146,0.01242162932146987,0.0,0.052185540421450724,,76.38888888888889,81.6875,0.325,55.9875,0.0875,0.0125,0.3506166628202074,True,0.0125,0.03643260479289524,paired_t_question_level,False,0.6401032576325436,False,0.5475913828900462,True,0.03643260479289524,0.0125,-0.011999549806750675,0.03699954980675067,-0.021888639904756074,0.04688863990475607,0.03528327368635707,0.6661716593583942,TRUE NULL,0.0893452455854459
naive_dose_0p050,E3,0.05,free,matched_dose_0p000,0,80,8,0.0,0.0,10.0,1.0,0.01663424121442314,0.0,0.0,0.032602513690421164,0.03744665341942487,89.79452054794521,87.8125,0.0875,57.925,0.0,0.0,1.0,True,0.0,0.0017671988643573127,z_two_proportion_deff,False,0.38525881440383547,False,0.27981345443717914,True,0.0017671988643573127,0.0,0.0,0.0,-0.028194473269441023,0.028194473269441023,0.0017671988643573127,1.0,TRUE NULL,0.0893452455854459
naive_dose_0p250,E3,0.25,free,matched_dose_0p000,1,80,8,0.0125,0.0,10.0,1.0,0.02024809676835146,0.01242162932146987,0.0,0.052185540421450724,,84.5774647887324,87.75,0.1125,60.6875,0.0375,0.0125,0.3506166628202074,True,0.0125,0.03643260479289524,paired_t_question_level,False,0.6401032576325436,False,0.5475913828900462,True,0.03643260479289524,0.0125,-0.011999549806750675,0.03699954980675067,-0.021888639904756074,0.04688863990475607,0.03528327368635707,0.6661716593583942,TRUE NULL,0.0893452455854459
base__json,E4,0.0,json,base__json,2,80,8,0.025,0.11111111111111101,10.0,1.9999999999999991,0.032860264730588284,0.017455300054711177,0.0,0.08940493539440483,,90.85526315789474,99.0,0.05,66.775,0.025,0.0,1.0,False,0.0,1.0,self,,,,,,,,,,,,,1.0,CONTROL,0.19652375518072715
base__nudge,E4,0.0,nudge,base__nudge,0,80,8,0.0,0.0,10.0,1.0,0.01663424121442314,0.0,0.0,0.032602513690421164,0.03744665341942487,93.97260273972603,96.0,0.0875,220.1,0.0,0.0,1.0,False,0.0,1.0,self,,,,,,,,,,,,,1.0,CONTROL,0.0893452455854459
scale_0p5__json,E4,0.5,json,base__json,0,80,8,0.0,0.0,10.0,1.9999999999999991,0.01663424121442314,0.0,0.0,0.032602513690421164,0.03744665341942487,92.95774647887323,99.375,0.1125,54.025,0.0,-0.025,0.3506166628202074,False,0.025,0.23083728760884137,paired_t_question_level,False,0.7220270255704838,False,0.6706306819607014,False,0.23083728760884137,-0.025,-0.07399909961350135,0.02399909961350135,-0.08086438679774233,0.030864386797742324,0.14312557793696756,0.6661716593583942,INDETERMINATE,0.12090330669400066
scale_0p5__nudge,E4,0.5,nudge,base__nudge,1,80,8,0.0125,0.0,10.0,1.0,0.02024809676835146,0.01242162932146987,0.0,0.052185540421450724,,90.33783783783784,98.125,0.075,84.7375,0.0125,0.0125,0.3506166628202074,True,0.0125,0.03643260479289524,paired_t_question_level,False,0.6401032576325436,False,0.5475913828900462,True,0.03643260479289524,0.0125,-0.011999549806750675,0.03699954980675067,-0.021888639904756074,0.04688863990475607,0.03528327368635707,0.6661716593583942,TRUE NULL,0.0893452455854459
scale_1__json,E4,1.0,json,base__json,1,80,8,0.0125,0.0,10.0,1.9999999999999991,0.02024809676835146,0.01242162932146987,0.0,0.052185540421450724,,87.69014084507042,97.4375,0.1125,44.525,0.025,-0.0125,0.3506166628202074,False,0.0125,0.16152905567216091,paired_t_question_level,False,0.5783360878928746,False,0.5262631337168514,False,0.16152905567216091,-0.0125,-0.03699954980675067,0.011999549806750675,-0.07491898890084076,0.04991898890084076,0.07943563295308076,0.6661716593583942,INDETERMINATE,0.12090330669400066
scale_1__nudge,E4,1.0,nudge,base__nudge,3,80,8,0.0375,0.0,10.0,1.0,0.025815445179282824,0.021240806834958038,0.0,0.0880973427962625,,77.28813559322033,88.3125,0.2625,52.375,0.0875,0.037500000000000006,0.07960201245519755,False,0.018298126367784998,0.31981958851158976,paired_t_question_level,False,0.8882604122759438,False,0.8485061151324134,False,0.31981958851158976,0.0375,0.001636331334578696,0.07336366866542132,-0.0064139753139696165,0.08141397531396961,0.3076712418866063,0.6661716593583942,INDETERMINATE,0.0893452455854459
