arm,axis,potency,rate_ext62,verdict_ext62,p_adj_ext62,mde_ext62,rate_std8,verdict_std8,p_adj_std8,mde_std8,flipped
base,E1,0.0,0.0,CONTROL,1.0,0.012501224397427466,0.0,CONTROL,1.0,0.0893452455854459,False
scale_0p25,E1,0.25,0.0,TRUE NULL,1.0,0.012501224397427466,0.0,TRUE NULL,1.0,0.0893452455854459,False
scale_0p5,E1,0.5,0.0064516129032258064,TRUE NULL,0.08466719542176272,0.012501224397427466,0.0,TRUE NULL,1.0,0.0893452455854459,False
scale_0p75,E1,0.75,0.02903225806451613,EFFECT (trivial),0.0065410354285112176,0.02209191890565934,0.05,INDETERMINATE,0.6661716593583942,0.10416717225155304,True
scale_1,E1,1.0,0.05806451612903226,EFFECT,0.0022531112578295584,0.03537399433039008,0.075,INDETERMINATE,0.6661716593583942,0.37054106241173296,True
scale_1p5,E1,1.5,0.07258064516129033,EFFECT,0.00029434704749172115,0.027004460155326232,0.1,INDETERMINATE,0.6661716593583942,0.37646529858426253,True
scale_2,E1,2.0,0.03225806451612903,EFFECT (trivial),0.0019929590206145863,0.017943564998505808,0.025,INDETERMINATE,0.6661716593583942,0.16403476482379592,True
scale_3,E1,3.0,0.0,TRUE NULL,1.0,0.012501224397427466,0.0,TRUE NULL,1.0,0.0893452455854459,False
matched_dose_0p000,E2,0.0,0.0016129032258064516,CONTROL,1.0,0.015123141520956765,0.0,CONTROL,1.0,0.0893452455854459,False
matched_dose_0p010,E2,0.01,0.0032258064516129032,TRUE NULL,0.38149736593657074,0.015123141520956765,0.0,TRUE NULL,1.0,0.0893452455854459,False
matched_dose_0p025,E2,0.025,0.0032258064516129032,TRUE NULL,0.38149736593657074,0.015123141520956765,0.0,TRUE NULL,1.0,0.0893452455854459,False
matched_dose_0p050,E2,0.05,0.004838709677419355,TRUE NULL,0.23235609669026397,0.015123141520956765,0.0,TRUE NULL,1.0,0.0893452455854459,False
matched_dose_0p100,E2,0.1,0.0064516129032258064,TRUE NULL,0.14374776831611014,0.02094924888067328,0.0,TRUE NULL,1.0,0.0893452455854459,False
matched_dose_0p250,E2,0.25,0.017741935483870968,EFFECT (trivial),0.03622222105702075,0.027185926768141088,0.0,TRUE NULL,1.0,0.0893452455854459,True
matched_dose_1p000,E2,1.0,0.037096774193548385,EFFECT,0.0019929590206145863,0.02458541987434295,0.0125,TRUE NULL,0.6661716593583942,0.0893452455854459,True
naive_dose_0p050,E3,0.05,0.008064516129032258,TRUE NULL,0.16293227789658657,0.019507978034880358,0.0,TRUE NULL,1.0,0.0893452455854459,False
naive_dose_0p250,E3,0.25,0.016129032258064516,EFFECT (trivial),0.03082989066410948,0.021168272388614295,0.0125,TRUE NULL,0.6661716593583942,0.0893452455854459,True
base__json,E4,0.0,0.0064516129032258064,CONTROL,1.0,0.026712533457115106,0.025,CONTROL,1.0,0.19652375518072715,False
base__nudge,E4,0.0,0.0016129032258064516,CONTROL,1.0,0.015123141520956765,0.0,CONTROL,1.0,0.0893452455854459,False
scale_0p5__json,E4,0.5,0.0064516129032258064,TRUE NULL,1.0,0.02025306363951855,0.0,INDETERMINATE,0.6661716593583942,0.12090330669400066,True
scale_0p5__nudge,E4,0.5,0.017741935483870968,EFFECT (trivial),0.03622222105702075,0.024906914502791803,0.0125,TRUE NULL,0.6661716593583942,0.0893452455854459,True
scale_1__json,E4,1.0,0.01935483870967742,TRUE NULL,0.2505246896110011,0.04287264343684345,0.0125,INDETERMINATE,0.6661716593583942,0.12090330669400066,True
scale_1__nudge,E4,1.0,0.04838709677419355,EFFECT,0.0019929590206145863,0.03140117422532409,0.0375,INDETERMINATE,0.6661716593583942,0.0893452455854459,True
